Question Number,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Flag
1501,"183.   The  Long  term  objective  of  National  Programme  for 

Prevention and Control of Deafness is:","To reduce disease burden by 25% by end of XI Five 
[AIIMS May 2007]","To reduce disease burden by 50% by end of XI Five 

Year Plan 

Year Plan","To reduce disease burden by 75% by end of XI Five 

Year Plan","To reduce disease burden by 100% by end of XI Five 

Year Plan",,A,no
1502,"184.   The best indicator for monitoring the impact of Iodine 

Deficiency Disorders control programme is:

   [DNB 2007, AIPGME 05, AIIMS Nov 2006, AIPGME 07]",Prevalence of goiter among school children,Urinary iodine levels among pregnant women,Neonatal Hypothyroidism,Iodine level in soil,,B,no
1503,"185.   Under  National  programme  for  prevention  of  nutri-
tional blindness, a child in the age group of 6-11 months 
is given a mega dose of vitamin A equal to:","50,000 IU",1 lakh IU,1.5 lakh IU,"2 lakh IU

[AIIMS Nov 05]",,B,no
1504,"186.   The  premium  of  the  “Community  based  Universal 
Health  Insurance  Scheme”  launched  during  2003-04 
ranges from: 
[AIPGME 06]","` 1 per day poor and individual to ` 2 per day for a 

family of seven","` 1 per day poor and individual to ` 3 per day for a 

family of seven","` 2 per day poor and individual to ` 2 per day for a 

family of seven","`  1  per  day  poor  and  individual  to  `  7  per  day  a 

family of seven",,,
1505,"187.   Elemental iron and folic acid content of iron and folic  
acid  adult  tablets  supplied  under  the  National  Pro-
gramme for Anaemia Prophylaxis are:","60 mg of elemental iron and 250 micrograms of folic 
[AIIMS May 1997]","100 mg of elemental iron and 500 micrograms of folic 

acid 

acid","120 mg of elemental iron and 750 micrograms of folic 

acid","200  mg  of  elemental  iron  and  1000  micrograms  of 

folic acid",,B,no
1506,"188.   The Vitamin A supplement administered in “Prevention 
of  nutritional  blindness  in  children  programme” 
contains: 
[AIPGME 2003]","25,000 IU/ml",1 lakh IU/ml,3 lakh IU/ml,5 lakh IU/ml,,B,no
1507,"189.   Blood  smear  must  be  made  at  night  for  which  of  the 
[DPG 2004]

following conditions?",Malaria,Filaria,Leprosy,Onchocerciasis,,B,no
1508,"190.   Minimum  level  of  iodine  in  iodized  salt  reaching  the 
consumer level according to Iodine programme should 
be: 
[Recent Question 2013] [DPG 2006]",15 ppm,30 ppm,5 ppm,20 ppm,,A,no
1509,"191.   Effective Leprosy Control Programmes may be indica-
[AIIMS Nov 09]

ted by all except:",High new case detection rate,Increasing no. of children affected,Decreased type II disability,"Proportion of multi-bacillary cases on treatment

440

mebooksfree.com

Review of Preventive and Social MedicineNational Health Programmes, Policies and Legislations in India",,B,no
1510,"192.   STEPS done for: 

[Recent Question 2013] [AIIMS May 2010]","Surveillance  of  risk  factors  of  non-communicable 

disease","Surveillance  of  incidence  of  non-communicable 

disease","Surveillance  of  evaluation  of  treatment  of  non-

communicable disease","Surveillance  of  mortality  from  non-communicable 

disease",,A,no
1511,"193.    Rashtriya Swasthya Bima Yojana, all are true except: 

[AIIMS November 2013]",Applicable for BPL only,Entitled for 30000 rupees,Pay and reimbursement follows,Is a type of employment scheme,,D,no
1512,194.    Rashtriya Swasthya Bima Yojana is:  [AIIMS May 2012],"Government run insurance scheme for  

its employees",Government run insurance scheme for all citizens,Government run insurance scheme for poor,Private insurance company run scheme for all poor,,,
1513,"195.    True about Rashtriya Swasthya Bima Yojana is: 

[AIIMS November 2012]",Applies to BPL families only,Annual cover is Rupees 30000/- per family member,75% premium is borne by family,Implemented all over India,,A,no
1514,196.    Mental health programme was started in:,1982,1987,1990,"1995

[Recent Question 2013]",,A,no
1515,"197.    Which  of  the  following  diseases  is  not  under  surveil-
lance  in  Integrated  Disease  Surveillance  Project  (P-
FORM)?",Snake bite,Acute Respiratory Tract Infections,Tuberculosis,"Leptospirosis

[AIIMS May 2013]",,A,no
1516,"198.    Disease  NOT  covered  under  Integrated  Disease  Sur-
[AIIMS November 2013]

veillance Project (IDSP) is",Meningococcal disease,Tuberculosis,Herpes zoster,Cholera,,C,no
1517,"199.    National  Programme  for  Prevention  and  Control  of 
Cancer,  Diabetes,  Cardiovascular  diseases  and  Stroke 
(NPCDCS), true is  
[AIIMS May 2013]","Separate centre for stroke, DM, cancer",Implementation in some 5 states over 10 districts,District hospital has specialised facilities,Subcentre has facility for diagnosis and treatment,,C,no
1518,"200.    True  about  National  Programme  for  Prevention  and 
Control  of  Cancer,  Diabetes,  Cardiovascular  diseases 
and Stroke is  
[AIIMS November 2012]",Home based care is not given,Implementation in some 5 states over 10 districts,"Separate centre for stroke, DM,","CHC  has  facilities  for  diagnosis  and  treatment  of 

CVD, Diabetes",,D,no
1519,"201.    Type of surveillance included in integrated disease con-
trol programme for non-communicable disease is:",Sentinel surveillance,Regular surveillance,Periodic regular survey,"Additional state priority

[DNB December 2010]",,C,no
1520,"202.    Most  sensitive  indicator  of  Hypothyroidism  in  a  com-
[AIIMS May 2014]

munity is",T4,Neonatal hypothyroidism,TSH,Median urinary iodine excretion,,D,no
1521,"203.    What is the new change in National Programme on Preven-
tion  and  Control  of  Diabetes,  Cardiovascular  diseases  
 [Recent Question 2014]
and Stroke?",Opportunistic screening,Awareness of lifestyle and behavior related diseases,Specialized units at Medical colleges,Integration with National Cancer Control Programme,,D,no
1522,"204.   In Integrated Disease Surveillance Project in India, which  
of the following type of diagnosis is done by PHC Medi-
cal Officer? 

[PGMCET 2015] [Recent Question 2015]",Syndromic,Presumptive,Confirmed,Laboratory,,B,no
1523,"205.   Laboratory report of diseases sent as ‘L-form’ in IDSP is  
[Recent Question 2015]",Syndromic diagnosis,Presumptive diagnosis,Confirmed diagnosis,Active surveillance,,C,no
1524,"206.   Not included in National Mental Health Programme 1982  
[AIIMS November 2014]",Minimum mental health care for all,"Application  of  mental  health  knowledge  in  general 

health care",Human rights of mentally ill,"Community  participation  in  mental  health  service 

development 

mebooksfree.com

441

National Health Programmes, Policies and Legislations in IndiaNational Health Programmes, Policies and Legislations in India",,C,no
1525,207.   All are true about Swajaldhara programme except:,"Community led, participatory program",Provide drinking water in Rural areas,"State  Government  maintain  and  manage  all  water 

[Recent Question 2015]

supply",Encourage water harvesting practices,,C,no
1526,"208.   Which National Programme came into existence during 
[UPSC CMS 2015]

11th Five Year Plan?",National Cancer control programme,"National  Cardiovascular  diseases  &  Stroke  control 

programme",National Diabetes and Cancer control programme,"National  Programme  for  prevention  and  control  of  
Cancer, Diabetes, Cardiovascular diseases and Stroke 

Review Questions",,D,no
1527,"209.   True about Mid-day meal given in school is:

[DNB 2005]

  Calories",01-Mar,01-Mar,01-Feb,"1/2 

Proteins 
1/2
1/3
1/2
1/3",,,yes
1528,"210.   According to WHO, treatment of paucibacilary leprosy 
[UP 2002]

is:",6 month,1 year,2 year,4 years,,A,no
1529,"211.   The goal of National Leprosy Eradication Programme is 

to bring the prevalence of leprosy to less than one per:","100 
[MH 2005]",1000,"10,000","1,00,000",,C,no
1530,"212.   Treatment of lepromatous leprosy is:

[MHPCMCET 2003; MH 2005]",Rifampicin + Dapsone,Rifampicin + Clofazamine,Rifampicin + Dapsone + Clofazamine,Rifampicin + Ofloxacin + Minocycline,,C,no
1531,"213.   In leprosy mass survey is done if prevalence is (per 1000 
[RJ 2003]

person):",1,5,7,10,,D,no
1532,"214.   The  multidrug  regimen  under  the  National  Leprosy 
Era di cation  programme  for  the  treatment  of  all  multi-
bacillary leprosy would include: 
[RJ 2007]","Clofazimine, thiacetazone and dapsone","Clofazimine, Rifampicin and dapsone","Ethionamide, Rifampicin and dapsone","Propionamide, Rifampicin and dapsone

442",,B,no
1533,"215.   All are true of Midday School Meal Programme except:
[AP 2004]","Should  supply  ½  daily  protein  and  ⅓  rd  or  daily 

calories",Is a substitute for regular food,Locally available foods are used,Cheap and easy to prepare,,B,no
1534,"216.   As  per  national  iodine  deficiency  disorder  prevention 
and  control  programme,  how  much  iodine  should  be 
there in the salt at the point of consumption? [MP 2006]",7 ppm,10 ppm,15 ppm,30 ppm,,C,no
1535,"217.   Single  massive  dose  of  vitamin  A  for  preventing  the 
deficiency in preschool children between the age of 1-6 
years for every 6 months is: 
[MH 2007]","2,000 IU","20,000 IU","2,00,000 IU","20,00,000 IU

MISCELLANEOUS (H. PROGRAMMES)",,C,no
1536,"218.   A young boy had a flea bite while working in a wheat 
grain godown. After 5 days he developed fever and had 
axillary  lymphadenopathy.  A  smear  was  sent  to  the 
laboratory  to  perform  a  specific  staining.  Which  one 
of  the  following  staining  methods  would  help  in  the 
identification of the suspected pathogen?",Albert staining,Zeihl-Neelson staining,McFadyean’s staining,"Wayson’s staining

[AIPGME 2006]",,D,no
1537,"219.   Simplified Information System plays an important role 
[AIIMS Nov 2005]

as part of MIS in:",RNTCP,National Leprosy Eradication Programme,National Vector Borne Disease Control Programme,National AIDS Control Programme,,B,no
1538,"220.   Which of the following drugs is not given as supervised 
regimen in National Health programmes of India:",Clofazimine,Dapsone,Rifampicin,"Pyrazinamide

[AIIMS Nov 09]",,B,no
1539,"221.   Which  of  the  following  programmes  were  started 
[PGI November 2011]

before 1960?",Malaria,Filaria,Leprosy,TB,"Blindness

mebooksfree.com

Review of Preventive and Social MedicineNational Health Programmes, Policies and Legislations in India",A,no
1540,"222.    KISHORI  SHAKTI  YOJANA  has  been  designed  to  
[NUPGET 2013]

improve nutritional status of",Adult men,Adolescent girls,Under five children,Senior citizens,,B,no
1541,"223.    WHO  funds  which  of  the  following  programmes  in  
[Recent Question 2013]

India?",RNTCP,National Leprosy Eradication Programme,Janani Suraksha Yojnna,National old age pension plan,,A,no
1542,"224.    Disease not under integrated disease surveillance pro-
[Recent Question 2013]  [DNB December 2011]

ject is",TB,Meningoencephalitis,Cholera,Herpes zoster,,D,no
1543,"225.    Integrated  Child  Protection  Scheme  is  under  which 
[Recent Question 2012] 

ministry?",Health & Family Welfare,Women & Child Development,Home Affairs,Labour,,B,no
1544,"226.    ICDS was launched in  

[Recent Question 2012]",1955,1968,1975,2005,,C,no
1545,"227.    Direct  cash  transfer  scheme  to  adolescent  girls  is  cov-
[Recent Question 2012]

ered under",Indira Gandhi scheme,Rajiv Gandhi scheme (SABLA),CSSM,RCH,,B,no
1546,"228.   ‘NIKSHAY’  is  newly  launched  Central  Government 
[AIIMS PG May 2015]

software. It is used for tracking",High risk newborns,Malaria,Tuberculosis,High risk pregnancies,,C,no
1547,"229.   Link worker scheme are in which National health pro-
[Recent Question 2015]

gramme?",RNTCP,NACP,NLEP,"ICDS

Review Questions",,B,no
1548,"231.   Directly observed treatment (DOTs) agents is under:

[MP 2005]",Revised National Tuberculosis Control Programme,Reproductive and Child Health (RCH) Programme,National AIDs Control Programme,"National Leprosy Eradication Programme

RASHTRIYA SWASTHYA BIMA YOJANA",,A,no
1549,232.   True regarding Rashtriya Swasthya Bima Yojana is,Treatment provided only in Government hospitals,"Valid  for  4-member  family  only—Head,  Spouse,  

[AIIMS November 2015]

2 Children","Can  avail  facility  in  any  hospital  using  his  Smart 

card and Fingerprint","Cashless benefit in hospitals

NATIONAL HEALTH POLICY",,D,no
1550,233.   India aims to eliminate __________by 2015:,Malaria,TB,Filariasis,"HIV

 [MH 2008, AIPGME 2010]",,C,no
1551,"234.    Maternal mortality must be reduced to less than: 

[Recent Question 2013]",100,200,300,"400

Review Question",,A,no
1552,"235.   National health policy is based on: 

[RJ 2003]",Primary health care,Tertiary care,Child care,"Mother Care

NATIONAL POPULATION POLICY",,D,no
1553,"236.   ‘Preferable’  age  for  marriage  for  girls  under  National 
[AIIMS Nov 2002]

Population Policy 2000 is:",18 years,19 years,20 years,21 years,,C,no
1554,"230.   Ultimate aim in health programme is: 

[UP 2001]",To attain the goal of health,Supply the safe drinking water and sanitation,Provision of legislative support to health protection,"Research  into  alternative  methods  of  health  care 

delivery",,A,no
1555,"237.   National Population Policy 2000 has set a goal (by 2010) 
for 100 % Registration of all the following except:",Births and Deaths,Marriages,Divorces,"Pregnancies

[AIIMS May 2003]

mebooksfree.com

443

National Health Programmes, Policies and Legislations in IndiaNational Health Programmes, Policies and Legislations in India",,C,no
1556,"238.   The  National  Population  Policy  2000  aims  to  achieve 
[AIPGME 2004]

Total Fertility Rate of 2.1 by the year:",2005,2010,2015,2050,,B,no
1557,"239.   National  Population  Policy  2000  aims  to  achieve  all 
[Karnataka 2007]

except:",Targets to be achieved by the year 2010,"Reduction of IMR to less than 30 live births/1000 live 

births",1998,1994,,,yes
1558,"245.   According  to  Organ  Transplantation  Act  1994,  what  is 

the punishment for doctor if found guilty?",1 year,2 years,Reduction of MMR to less than 100 /1000 live births,"Achieve 100% registration of births, deaths, marriage 

CBD REGISTRATION ACT

and pregnancy",,,yes
1559,240.   Goals of national population policy are all except?,Decrease IMR to below 30/1000 live births,Reduce MMR to below 100/100000 live births,"Achieve 100% registration of births, deaths, marriage 

[AIIMS May 2011]

and pregnancy","Bring down TFR to replacement levels by 2015

Review Question",,D,no
1560,"241.   National Population Policy was started from which of 
[MH 2003]

the following year?",1976,1980,1986,"1988

NATIONAL MENTAL HEALTH POLICY",,A,no
1561,"242.   National  Mental  Health  Policy  of  India  was  launched 
[Recent Question 2015]

in",1982,1987,1994,2014,,D,no
1562,"246.   According to Registration of Births and Deaths Act 1969, 
the birth and death are to be registered, respectively in:","14 days and 7 days 
[AIPGME 1999]",7 days and 14 days,14 days and 21 days,21 days and 21 days,,D,no
1563,"247.   Birth and Death registration Act came into force on 1st 
[Recent Question 2015]

April,",1968,1969,1970,"1971

OTHER LEGISLATIONS",,C,no
1564,"248.   National  Rural  Employment  Guarantee  Act  (NREGA) 
[AIIMS May 2007]

was passed in:",1947,1991,2005,2008,,C,no
1565,"249.   ‘Professional  Misconduct’  specified  under  MCI  Act 
[AIPGME 1998]

include all except:",Alcoholism,Smoking,Adultery,"Human Rights Violation

IT ACT",,B,no
1566,"250.   Census 2001 Population Count was as on:

 243.  The  information  technology  has  revolutionized  the 
world  of  medical  sciences.  In  which  of  the  following 
year the Information Technology Act was passed by the 
Government of India? 
[AIPGME 2005]",00.00 hrs 01 March,06.00 hrs 01 March,00.00 hrs 31 March,"00.00 hrs 01 April

[AIIMS May 2003]",,,yes
1567,251.   Which act was passed before independence?,MTP,Indian factories act,Workman’s compensation act,"ESI

[DPG 2008]",,C,no
1568,"252.   MTP  Act  of  1971  provides  the  following  indications 
except: 
[Karnataka 2006]",Where continuation of pregnancy endangers mother’s,,,,,,yes
1569,"244.   Transplantation  of  Human  Organs  Act  was  passed  by 
[AIPGME 05, 06]

Government of India in:",1996,Where pregnancy is a result of rape,When acceptors requires incentives,"Failure of contraceptive device

444

mebooksfree.com

Review of Preventive and Social MedicineNational Health Programmes, Policies and Legislations in India",,,yes
1570,"253.   Acts passed before 1980: 

[PGI Dec 2007]",ESI,Factory,Air Protection,Children’s Act,MTP,A,no
1571,254.   Licence to blood banks is given by:  [AIIMS May 2009],Drugs Controller General of India,Director Genera of Health Services,"Director General, Indian Council of Medical Research","Director General, Blood Bank Services",,A,no
1572,"255.   What is correct for NDPS Act, 1985? 

[AIPGME 2012]",Drug users sent to treatment not jail if requested,Alcoholism is included in drugs,Farmers allowed to grow unlimited opium,Equal punishment for drug peddlers and drug users,,A,no
1573,"256.    Medical  termination  of  pregnancy  can  be  done  by  a 
registered medical practitioner if the gestation period is 
less than  
[Recent Question 2013]",8 weeks,12 weeks,20 weeks,24 weeks,,C,no
1574,"257.    Mental health act was passed in [Recent Question 2013]
[Recent Question 2014]
[DPG 2006]",1982,1987,1971,1950,,B,no
1575,258.    Not included in NDPS Act is/are  [PGI November 2012],Alcohol,Opium,Cannabis,Nicotine,Morphine,A,no
1576,259.    Recent mental health act in India is designated as:,The Mental Health Act,The Mental Health Care Act,The Mental Health Care and Rehabilitation Act,"The Mental Health Treatment and Rehabilitation Act

[AIIMS May 2013]",,C,no
1577,"260.    Which  of  the  following  in  NOT  included  in  Mental 
[AIIMS November 2014]

Health Care Act 2011?","Promotion of mental health and prevention of  

mental illness","Integration of mental health care system into all  

levels of health care",Fundamental rights of mentally retarded,Minimum mental health care for all,,C,no
1578,"261.    Central  Drugs  Standard  Control  Organisation  Zonal  
Offices are located all of the following places except:     
[Recent Question 2014]",Mumbai,Chennai,Ahmedabad,Jaipur,,D,no
1579,262.    Naranjo algorithms is used for:  [Recent Question 2014],Environmental factors effecting drug,Parameter based data evaluation,Calculating probability of adverse drug reaction,Demographic factor affecting drugs action,,C,no
1580,"263.    Medical Termination of Pregnancy Act 1971, was amen-
[Recent Question 2014]

ded in 2002 to include:",Risk to mother’s life as an indication,Failure of contraception as an indication,‘Mentally ill’ in place of lunatic,POG upto 20 weeks,,C,no
1581,264.    Act,MTP act,ESI act,SARDA act,Factory act,Immunization act,,yes
1582,"265.   Food  Standards  and  Safety  Authority  of  India  comes 
[AIIMS PG May 2015]

under",Ministry of Consumer Affairs,Ministry of Agriculture,Ministry of Health and Family Welfare,Ministry of Rural development,,C,no
1583,"266.   Regimen  for  Medical  abortion  upto  7  weeks  of  gesta-

tion as per Government of India guidelines includes 

[UPSC CMS 2015]",200 mg of misfepristone on D1 followed by 800 μg of,200 mg of misfepristone on D1 followed by 400 μg of,400 mg of misfepristone on D1 followed by 800 μg of,"400 mg of misfepristone on D1 followed by 400 μg of 

misoprostol on D3 

misoprostol on D3 

misoprostol on D3 

misoprostol on D3 

Review Questions",,,yes
1584,"267.   Elemental  iron  and  folic  acid  contents  of  iron  and 
folic  acid  adult  tablets  supplied  under  the  “National 
programme for anaemia prophylaxis” are:  [Bihar 2004]",60 mg of elemental iron and 250 µg of folic acid,100 mg of elemental iron and 500 µg of folic acid,120 mg of elemental iron and 750 µg of folic acid,200 mg of elemental iron and 1000 µg of folic acid,,B,no
1585,"268.   RTI act was passed in: 

[Kolkata 2009]",2004,2005,2000,2007,,B,no
1586,269.   Screening test commonly used for HIV is:,Western Blot,Absolute CD4 count,ELISA,"Viral load assay

[MP 2005]

445

mebooksfree.com

National Health Programmes, Policies and Legislations in IndiaNational Health Programmes, Policies and Legislations in India 
 
 
 
 
 
 
 
 
MULTIPLE CHOICE QUESTIONS

DEMOGRAPHY

DEMOGRAPHIC CYCLE AND PROCESSES",,C,no
1587,1.   Demographic Gap attains its maximum limit in:,,,While the birth rate remains unchange,"Birth  rate  tends  to  fall  and  death  rate  declines  still 

further",Low death rate and low birth rate,,yes
1588,9.   Movement at socio-economic level is:,Early Stage I,Late Stage II,Late Stage III,Early Stage IV,,,yes
1589,"2.   True about late expanding phase of demographic cycle:  
[Recent Question 2013] [AIPGME, 2004-09]",Social equality,Social mobility,Socio-economic upliftment,"Social mobilization

[AIPGME 2010]
[Recent Question 2013]",,,yes
1590,"10.   Late expanding stage of population in India is due to?   
[AIIMS May 2011]",Birth rate stationary death rate continues to fall,Death rate declines faster than birth rate,"Birth rate declines, death rate same",Birth rate is less than birth rate,,B,no
1591,"3.   Contraction of Demographic-Gap starts in:

Review Question",Stage I,Late Stage II,Early Stage III,"Stage IV

   [AIIMS Nov 2005, Nov 05]",,,
1592,"4.   In  which  stage  of  the  demographic  cycle  is  India 
[Recent Question 2013] [AIIMS Dec 1997]
[Karnataka 2004]
[MP 2002, MH 2007, RJ 2002]

currently?",High stationary,Late expanding,Early stationary,Low stationary,,,
1593,5.   ‘Demographic Processes’ does not include:,Fertility,Morbidity,Mortality,"Social mobility

[AIIMS Sep 1996]",,,
1594,"6.   In a demographic cycle low stationary phase corresponds 
[DPG 2008]

to which stage?",First,Second,Third,Fourth,,,
1595,7.   The fourth stage of the demographic cycle is:,Declining,Early expanding,High stationary,"Low stationary

[Karnataka 2007]",,,
1596,8.   Third stage of demography indicates:,High birth rate and high death rate,"Death rate begins to decline 

[PGI June 2007]",,,,,
1597,"11.   Early expanding stage is denoted by: 

 [AP 2002]",Decreased birth rate and Decreased death rate,Increased birth rate and Increased death rate,Decreased birth rate and Increased death rate,"Unchanged birth rate and Decreased death rate

BIRTH RATE, DEATH RATE AND GROWTH RATE",,,
1598,"12.   At current growth rate, India’s population will double 
[AIPGME 1992-1997]

in:",23-28 years,28-35 years,35-47 years,47-70 years,,,
1599,"13.   Current  annual  growth  rate  of  a  population  can  be 
calculated by:  
[AIIMS Dec 1995]","Crude  birth  rate  (CBR)  minus  Crude  death  rate 

(CDR)","Crude death rate (CDR) minus Crude birth  

rate (CBR)",Decadal growth rate/10,Crude birth rate (CBR) plus Crude death rate  (CDR),,,
1600,"14.   Crude  birth  rate  is  a  simplest  measure  of  fertility 
[Karnataka 2006]

because it includes:",Total population,Mid year population,Live births only,"Pre-term births 

506

mebooksfree.com

Review of Preventive and Social MedicineDemography, Family Planning and Contraception",,,
1601,"15.   Birth rate is: 

[PGI Dec 05]",Live birth/1000 mid year population,Birth/1000 mid year population,Live birth/10000 mid year population,"Live birth/10,000 population of reproductive  

age group (15-45)",Live birth/1000 population,,
1602,"16.   Which countries have a higher growth rate than India? 
[PGI June 08]",Myanmar,Nepal,Sri Lanka,Bangladesh,,,
1603,"17.   Crude birth rate – NOT true is: 

[AIIMS May 2010]",It is a measure of fertility,It is actually a ratio not a rate,It is independent of age of population,Numerator does not include still births,,,
1604,"18.    Population  growth  is  rated  to  be  ‘explosive’  if  the 
[Karnataka 2011]
[Recent Question 2013]
[MH 2007, 2008, UP 2006]
[Recent Question 2015]

annual growth rate exceeds:",2.00%,1.50%,1.00%,0.50%,,,
1605,"19.   In a community of 5000 people, the crude birth rate is 30 

per 1000 people. The number of pregnant females is?

[Recent Question 2013]",150,165,175,200,,,
1606,"20.   What is exponential growth? 

[Recent Question 2013]","Rapid growth in population that leads to misbalance 

in birth and deaths",Slow growth rate,Growth limited by limiting factors,"None of the above

Review Questions",,,
1607,"21.   If Birth rate – 42 and death rate 31 then annual growth 
[Bihar 2005]

rate:",11%,1.10%,0.25%,2.50%,,,
1608,"22.   Denominator of crude birth rate is:  [UP 2000, MP 2000]",Mid year population,Number of living children,Number of death children,Total number of crude birth,,,
1609,"23.   Denominator in crude death rate is: 

[MP 2000]",Mid year population,Mid year females 15-44 years,Mid year marital females 14-44 years,Mid year males 15-44 years,,,
1610,"24.   If  annual  growth  rate  of  population  is  1.5–2%  the 
[MH 2006]

population is likely to get doubled in:",18-20 years,20-23 years,28-35 years,35-47 years,,,
1611,"25.   Age pyramid of India is: 

[Recent Question 2012] 
[MH 2000]",Broad at base and narrow at apex,Broad from base to apex,Broad at apex and narrow at base,"All

POPULATION PYRAMID",,,
1612,"26.   In  India  women  in  child-bearing  (15  –  44  years)  age 

group constitute …% of the population:",10                                                             [AIIMS Dec 1997],15,22,35,,,
1613,"27.   The  carrying  capacity  of  any  given  population  is 
     [AIIMS May 05]

determined by its:",Population growth rate,Birth rate,Death rate,Limiting resource,,,
1614,"28.   Reproductive  age  group  in  India  contributes  to  total 
[AIIMS June 1997]

population as about:",26%,37%,51%,66%,,,
1615,"29.   The spindle-shaped Age pyramid denotes?

[Recent Question 2013]",Developing country,Developed country,Underdeveloped country,"Middle east country

SEX RATIO AND DEPENDENCY RATIO",,,
1616,"30.   According  to  2001  census,  sex  ratio  i.e.  no.  of  females 
[AIPGME 2006]

per 1000 males is:",940,933,927,104,,,
1617,"31.   For  a  population  of  10000,  sex  ratio  of  more  than  1000 
[AIIMS Nov 2003]

means:",Males are less than 500,"Females are less than 500

507

mebooksfree.com

Demography, Family Planning and ContraceptionDemography, Family Planning and Contraception",15-65 years,65 years and above,,,
1618,"32.   In  calculating  Dependency  Ratio,  the  numerator  is 
expressed as:       [Recent Question 2013, AIIMS May 03]",Population under 10 years and 60 and above,Population under 15 years and 60 and above,Population under 10 years and 65 and above,Population under 15 years and 65 and above,,,
1619,"33.   Community X has 30% below 15 yrs of age and 10% over 
65 years of age. Dependency ratio for community X is:","20% 
[AIIMS May 2002]","40% 
[Recent Question 2012, 2015]",66.60%,3%,,,
1620,"34.   Dependency ratio includes:  

[PGI June 05]",0-5 yrs age,6-14 yrs age,15-45 yrs age,> 65 yrs,,,
1621,35.    Child sex ratio of India (Census 2011) is:,927,940,914,"933

[AIPGME 2012]",,,
1622,"36.	  Potential	Support	Ratio	(PSR)	is	defined	as:	

[AP 2014]","Number of persons aged 15 to 65 per children below 

15 years","Number of persons aged 15 to 65 per one older per-

son aged >/= 65 years","Number of person aged 15 to 65 per one older person 

aged > 65 and younger person < 15 years","Number of persons aged 15 to 65 persons older per-

son aged > 60 and younger person < 15 years

Review Questions",,,
1623,"37.   Which  states  in  India  has  the  lowest  female/male  sex 
[UP 2004]

ratio is:",Kerala,Haryana,Tamil Nadu,Himanchal Pradesh,,,
1624,"38.   All are true about sex ratio except: 

[MP 2001]",Kerala is the state where it is not adverse for  women,Since 1901 it is unfavourable for women,Since 1901 there is steadily decreasing trend,"It  is  determined  by  sex  composition  of  population 
affected  by  differentials  in  mortality  conditions  of 
male  and  females,  sex  selective  migration  and  sex 
ratio at birth",,,
1625,"39.   Denominator age group for calculation of dependency 
[MP 2009]

ratio is:",0-5 years,"5-15 years

LITERACY AND LIFE EXPECTANCY",,,,,
1626,"40.   The  denominator  used  for  calculating  literacy  rate  of 
[DPG 2005]
[AIIMS Nov 2003]

Indian population (Census  2001) is:",Total mid-year population,Population age 7 years or more,School going population,Population age 18 years or more,,,
1627,"41.   Literacy rate for India, as per 2001 census, is:",43.50%,52.20%,65.40%,"76.4 %

[AIIMS Nov 04]",,,
1628,"42.   Effective literacy rate is calculated from:

[AIIMS PGMEE November 2013]",Those above age of 7 years,Those who have completed 10 year schooling,Those who have completed 15 year schooling,"Total population

FERTILITY",,,
1629,"43.   True about ‘total fertility rate’ is:  

[AIPGME 02, 08, AIIMS Dec 1997]",Sensitive indicator of family planning achievement,Completed family size,"Number of live births per 1000 married  
 women in reproductive age group",Average number of girls born to a woman,,,
1630,"44.   If the total fertility rate in India is 2.2, the crude birth 
[AIPGME 1996]

rate would be:",18.6 per 1000 population,19.2 per 1000 population,22.4 per 1000 population,26.2 per 1000 population,,,
1631,"45.   Which of the following is the national level system that 
provides annual national as well as state level reliable 
estimates of fertility and mortality?",Civil registration system,Census,Ad-hoc survey,"Sample registration system

[AIIMS Nov 96, 03, AIIMS May 05]",,,
1632,"46.   The  number  of  live  birth  per  1000  women  in  the 

reproductive age group in a year refers to:",Total fertility rate,Gross Reproduction Rate,"Net Reproduction Rate [Recent Question 2012, 2014]","General Fertility Rate 

    [AIIMS Nov 03, Dec 1997]

508

mebooksfree.com

Review of Preventive and Social MedicineDemography, Family Planning and Contraception",,,
1633,"47.   If TFR in a population is 4 per woman, the GRR approx. 
[AIIMS Dec 1991, RJ 2006]

would be:",2,4,8,16,,,
1634,"48.   Approximate  magnitude  of  completed  family  size  is 
[UP 2001, Karnataka 2007, 2009]
[MH 2008, PGMCET 2015]

denoted by:",Total fertility rate,Total marital fertility rate,General fertility rate,General marital fertility rate,,,
1635,"49.   Total fertility rate: 

[PGI Dec 2K]",Total no. of children born to a woman in a given yr,Measure of completed family size,Sum of fertility of all age,No of female child born to mother,Total no of child born to mother,,
1636,"50.   Population  growth  is  said  to  be  less  than  adequate 
[PGI June 03]

requirement when NRR is:",< 1,1,> 1,0,,,
1637,"51.   Which of the following indicators involve repro ductive 
[PGI June 04]

woman:",Birth Rate,G.F.R.,T.F.R,Maternal mortality rate,,,
1638,52.    The denominator in general fertility rate is:,Live births,Mid year population,"Reproductive women in the age group 15-45 Mid year 

[UP 2000, DNB 2002, 2005, PGI June 04]

population",Married women in the age group 15-45,,,
1639,"53.   Demographers  are  of  the  view  that  the  demographic 
goal  of  NRR  =  1  can  be  achieved  only  if  the  couple 
protection rate exceeds:  
[Karnataka 2011]","40% 
[DNB 2011, MH 2008]",50%,60%,70%,,,
1640,"54.   General fertility rate is: 

[Recent Question 2013]",Indicator of complete family size,Measure of fertility,Not better than crude birth rate,All of the abover,,,
